title,abstract
Controlled drug delivery systems: past forward and future back.,"Controlled drug delivery technology has progressed over the last six decades. This progression began in 1952 with the introduction of the first sustained release formulation. The 1st generation of drug delivery (1950-1980) focused on developing oral and transdermal sustained release systems and establishing controlled drug release mechanisms. The 2nd generation (1980-2010) was dedicated to the development of zero-order release systems, self-regulated drug delivery systems, long-term depot formulations, and nanotechnology-based delivery systems. The latter part of the 2nd generation was largely focused on studying nanoparticle formulations. The Journal of Controlled Release (JCR) has played a pivotal role in the 2nd generation of drug delivery technologies, and it will continue playing a leading role in the next generation. The best path towards a productive 3rd generation of drug delivery technology requires an honest, open dialog without any preconceived ideas of the past. The drug delivery field needs to take a bold approach to designing future drug delivery formulations primarily based on today's necessities, to produce the necessary innovations. The JCR provides a forum for sharing the new ideas that will shape the 3rd generation of drug delivery technology."
Albumin Nanoparticle-Based Drug Delivery Systems.,"Nanoparticle-based systems are extensively investigated for drug delivery. Among others, with superior biocompatibility and enhanced targeting capacity, albumin appears to be a promising carrier for drug delivery. Albumin nanoparticles are highly favored in many disease therapies, as they have the proper chemical groups for modification, cell-binding sites for cell adhesion, and affinity to protein drugs for nanocomplex generation. Herein, this review summarizes the recent fabrication techniques, modification strategies, and application of albumin nanoparticles. We first discuss various albumin nanoparticle fabrication methods, from both pros and cons. Then, we provide a comprehensive introduction to the modification section, including organic albumin nanoparticles, metal albumin nanoparticles, inorganic albumin nanoparticles, and albumin nanoparticle-based hybrids. We finally bring further perspectives on albumin nanoparticles used for various critical diseases."
"Nanoparticles as Drug Delivery Carrier-synthesis, Functionalization and Application.","In recent years, advancements in chemistry have allowed the tailoring of materials at the nanoscopic level as needed. There are mainly four main types of nanomaterials used as drug carriers:metal-based nanomaterials, organic nanomaterials, inorganic nanomaterials, and polymer nanomaterials. The nanomaterials as a drug carrier showed advantages for decreased side effects with a higher therapeutic index. The stability of the drug compounds are increased by encapsulation of the drug within the nano-drug carriers, leading to decreased systemic toxicity. Nano-drug carriers are also used for controlled drug release by tailoring system-made solubility characteristics of nanoparticles by surface coating with surfactants. The review focuses on the different types of nanoparticles used as drug carriers, the nanoparticle synthesis process, techniques of nanoparticle surface coating for drug carrier purposes, applications of nano-drug carriers, and prospects of nanomaterials as drug carriers for biomedical applications."
"Nano drug-delivery systems for management of AIDS: liposomes, dendrimers, gold and silver nanoparticles.","AIDS causes increasing mortality every year. With advancements in nanomedicine, different nanomaterials (NMs) have been applied to treat AIDS and overcome its limitations. Among different NMs, nanoparticles (NPs) can act as nanocarriers due to their enhanced solubility, sustained release, targeting abilities and facilitation of drug-dose reductions. This review discusses recent advancements in therapeutics for AIDS/HIV using various NMs, mainly focused on three classifications: polymeric, liposomal and inorganic NMs. Polymeric dendrimers, polyethylenimine-NPs, poly(lactic-co-glycolic acid)-NPs, chitosan and the use of liposomal-based delivery systems and inorganic NPs, including gold and silver NPs, are explored. Recent advances, current challenges and future perspectives on the use of these NMs for better management of HIV/AIDS are also discussed."
Lipoprotein Like Nanoparticles Used in Drug and Gene Delivery.,"Native lipoproteins as nanoparticulate drug delivery systems have gained considerable attention in recent years. This is due to their biocompatibility, being endogenous, no triggering the immunological responses, relatively long half-life in the circulation, simple diffusion from vascular to extravascular compartments due to their nanometric particle size, potentially targeting capability to cellular receptors, simple preparative processes in the reconstituted forms, easy functionalization and high capacity for drug loading. Clinical application of many therapeutic agents like anticancer drugs and genes is hampered due to their susceptibility to degradation and difficult delivery into cells. Several nanoparticle platforms for siRNA delivery have been developed to overcome the major limitations facing the therapeutic uses of bioactive therapeutic agents."
Advances in Drug Delivery Systems Based on Red Blood Cells and Their Membrane-Derived Nanoparticles.,"Red blood cells (RBCs) and RBC membrane-derived nanoparticles have been historically developed as bioinspired drug delivery systems to combat the issues of premature clearance, toxicity, and immunogenicity of synthetic nanocarriers. RBC-based delivery systems possess characteristics including biocompatibility, biodegradability, and long circulation time, which make them suited for systemic administration. Therefore, they have been employed in designing optimal drug formulations in various preclinical models and clinical trials to treat a wide range of diseases. In this review, we provide an overview of the biology, synthesis, and characterization of drug delivery systems based on RBCs and their membrane including whole RBCs, RBC membrane-camouflaged nanoparticles, RBC-derived extracellular vesicles, and RBC hitchhiking. We also highlight conventional and latest engineering strategies, along with various therapeutic modalities, for enhanced precision and effectiveness of drug delivery. Additionally, we focus on the current state of RBC-based therapeutic applications and their clinical translation as drug carriers, as well as discussing opportunities and challenges associated with these systems."
Applications of nanoparticles for diagnosis and therapy of cancer.,"During the last decades, a plethora of nanoparticles have been developed and evaluated and a real hype has been created around their potential application as diagnostic and therapeutic agents. Despite their suggestion as potential diagnostic agents, only a single diagnostic nanoparticle formulation, namely iron oxide nanoparticles, has found its way into clinical routine so far. This fact is primarily due to difficulties in achieving appropriate pharmacokinetic properties and a reproducible synthesis of monodispersed nanoparticles. Furthermore, concerns exist about their biodegradation, elimination and toxicity. The majority of nanoparticle formulations that are currently routinely used in the clinic are used for therapeutic purposes. These therapeutic nanoparticles aim to more efficiently deliver a (chemo-) therapeutic drug to the pathological site, while avoiding its accumulation in healthy organs and tissues, and are predominantly based on the ""enhanced permeability and retention"" (EPR) effect. Furthermore, based on their ability to integrate diagnostic and therapeutic entities within a single nanoparticle formulation, nanoparticles hold great promise for theranostic purposes and are considered to be highly useful for personalizing nanomedicine-based treatments. In this review article, we present applications of diagnostic and therapeutic nanoparticles, summarize frequently used non-invasive imaging techniques and describe the role of EPR in the accumulation of nanotheranostic formulations. In this context, the clinical potential of nanotheranostics and image-guided drug delivery for individualized and improved (chemo-) therapeutic interventions is addressed."
An update on the applications and characteristics of magnetic iron oxide nanoparticles for drug delivery.,"In the field of drug delivery, controlling the release of therapeutic substances at localized targets has become a primary focus of medical research, especially in the field of cancer treatment. Magnetic nanoparticles are one of the most promising drug carriers thanks to their biocompatibility and (super)paramagnetic properties. These properties allow for the combination between imaging modalities and specific release of drugs at target sites using either local stimulus (<i>i.e</i>. pH, conjugation of biomarkers, …) or external stimulus (<i>i.e</i>. external magnetic field)."
Nanoparticles for modulating tumor microenvironment to improve drug delivery and tumor therapy.,"Tumor microenvironment (TME) plays a critical role in tumorigenesis, tumor invasion and metastasis. TME is composed of stroma, endothelial cells, pericytes, fibroblasts, smooth muscle cells, and immune cells, which is characterized by hypoxia, acidosis, and high interstitial fluid pressure. Due to the important role of TME, we firstly reviewed the composition of TME and discussed the impact of TME on tumor progression, drug and nanoparticle delivery. Next, we reviewed current strategies developed to modulate TME, including modulating tumor vasculature permeability, tumor associated macrophage phenotypes, tumor associated fibroblasts, tumor stroma components, tumor hypoxia, and multiple interventions simultaneously. Also, potential problems and future directions of TME modulation strategy have been discussed."
Strategies for Preparing Albumin-based Nanoparticles for Multifunctional Bioimaging and Drug Delivery.,"Biosafety is the primary concern in clinical translation of nanomedicine. As an intrinsic ingredient of human blood without immunogenicity and encouraged by its successful clinical application in Abraxane, albumin has been regarded as a promising material to produce nanoparticles for bioimaging and drug delivery. The strategies for synthesizing albumin-based nanoparticles could be generally categorized into five classes: template, nanocarrier, scaffold, stabilizer and albumin-polymer conjugate. This review introduces approaches utilizing albumin in the preparation of nanoparticles and thereby provides scientists with knowledge of goal-driven design on albumin-based nanomedicine."
Stability issues and approaches to stabilised nanoparticles based drug delivery system.,"Nanoparticles form the fundamental building blocks for many exciting applications in various scientific disciplines due to its unique features such as large surface to mass ratio, targeting potential, ability to adsorbed and carry other compound which makes them suitable for biomedical applications. However, the problem of the large-scale synthesis of nanoparticles remains challenging due to physical instability associated with nanoparticles which lead to generation of aggregates particles with high polydispersity index (PDI) indicating low particle homogeneity and eventually loss of their special nanoscale properties. The stabilisation concept can be generated by repulsive electrostatic force, which nanoparticles experience, when they are surrounded by a double layer of electric charges. Selection of proper stabiliser will govern the stability of NPs and ultimately development of optimised drug delivery system. This review summarises mechanism of physical instability issues likely to be encountered during the development of nanoformulations. It also discusses potential stabilising agents used so far and their mechanism in achieving stable nanosystems."
Nanoparticles and microparticles for skin drug delivery.,"Skin is a widely used route of delivery for local and systemic drugs and is potentially a route for their delivery as nanoparticles. The skin provides a natural physical barrier against particle penetration, but there are opportunities to deliver therapeutic nanoparticles, especially in diseased skin and to the openings of hair follicles. Whilst nanoparticle drug delivery has been touted as an enabling technology, its potential in treating local skin and systemic diseases has yet to be realised. Most drug delivery particle technologies are based on lipid carriers, i.e. solid lipid nanoparticles and nanoemulsions of around 300 nm in diameter, which are now considered microparticles. Metal nanoparticles are now recognized for seemingly small drug-like characteristics, i.e. antimicrobial activity and skin cancer prevention. We present our unpublished clinical data on nanoparticle penetration and previously published reports that support the hypothesis that nanoparticles >10nm in diameter are unlikely to penetrate through the stratum corneum into viable human skin but will accumulate in the hair follicle openings, especially after massage. However, significant uptake does occur after damage and in certain diseased skin. Current chemistry limits both atom by atom construction of complex particulates and delineating their molecular interactions within biological systems. In this review we discuss the skin as a nanoparticle barrier, recent work in the field of nanoparticle drug delivery to the skin, and future directions currently being explored."
Size shrinkable drug delivery nanosystems and priming the tumor microenvironment for deep intratumoral penetration of nanoparticles.,"The penetration of nanomedicine into solid tumor still constitutes a great challenge for cancer therapy, which lead to the failure of thorough clearance of tumor cells. Aiming at solving this issue, lots of encouraging progress has been made in the development of multistage nanoparticles triggered by various stimuli in the past few years. Besides, the therapeutical effects of nanoagents are also greatly impacted by the complex tumor microenvironment, and remodeling tumor microenvironment has become another important approach for promoting nanoparticles penetration. In this review, we summarize and analyze recent research progress and challenges in promoting nanoparticle penetration based on two kinds of different strategies, which include size shrinkable nanoparticles and priming tumor microenvironments. Especially, many recent reported multi-strategy approaches based on particle size reduction in conjugated with other therapeutic strategies are discussed. And we expect to provide some useful enlightenments and proposals on nanotechnology-based drug delivery systems for more effective therapy of solid tumors."
"Smart nanoparticles for responsive drug delivery in Diabetes: Advances, Challenges, and future Perspectives.","This review evaluates smart nanoparticle systems in diabetes management as drug delivery systems that have changed the way treatments for diabetes have been delivered. Diabetes, which includes both type 1 and type 2 forms, represents a significant challenge to human health worldwide. Traditional methods of treating diabetes include manual insulin injections, which, however, suffer from substantial drawbacks: noncompliance and inaccuracies in doses. Smart nanoparticles that can be engineered to physiologically respond to specific stimuli related to diabetes will be a means for achieving better targeted and controlled release delivery of therapeutic agents. This review gives a broad overview of the classes of nanoparticles being developed: polymeric, inorganic, lipid-based, and hybrid systems used in glucose-responsive insulin delivery and oral insulin formulations. Other innovative applications include introducing nanoparticles as components in theranostic systems, whereby a single treatment and diabetes monitoring can be accomplished through a fusion of therapeutic and diagnostic functions. Other current issues tackled by the review include stability and the large-scale production of such systems while fighting immunity problems. This review is meant to provide an outlook for further improvement through incorporating AI into drug delivery that will offer patient-specific dosing regimens or wearable devices combined with drug nanoparticles, as well as the development of eco-friendly biodegradable nanoparticles. Such developments are a great leap toward more effective and patient-centered diabetes care."
Innovations in Core-Shell Nanoparticles: Advancing Drug Delivery Solutions and Precision Medicine.,"Drug delivery innovation is an important pillar of systems pharmacology wherein nanotechnology offers significant prospects. This expert review examines and unpacks how core-shell nanoparticles (NPs) could revolutionize drug delivery systems and play a key role in advancing personalized and precision medicine. Core-shell NPs have gained attention as flexible tools for drug delivery due to their distinct structure, which features a core material enclosed by a protective shell. This setup offers multiple benefits, such as effective drug encapsulation, shielding the drug from degradation, and allowing for controlled release. Accordingly, the core serves as a safe storage area for the drug while the shell manages the release speed, providing added stability and supporting sustained delivery. By enabling targeted drug release, this controlled mechanism can help improve treatment outcomes and reduce side effects. Various materials, including polymers, lipids, and inorganic substances create these NPs. Biodegradable polymers, such as poly(lactic-co-glycolic acid) and poly(lactic acid), are popular choices because they offer adjustable degradation rates, which further control how the drug is released. These materials can be tailored for better drug loading, compatibility with the host organism, and specific chemical properties to suit different therapeutic needs. Research into core-shell NPs has been advancing in many therapeutic areas, highlighting their potential for drug delivery innovations. The potential of core-shell NPs to revolutionize drug delivery is not just a possibility but a promising reality that could significantly advance the field of personalized/precision medicine."
Advances in the synthesis and application of nanoparticles for drug delivery.,"The continuous development of drug delivery systems (DDSs) has been extensively researched by the need to maximize therapeutic efficacy while minimizing undesirable side effects. Nanoparticle technology was recently shown to hold great promise for drug delivery applications in nanomedicine due to its beneficial properties, such as better encapsulation, bioavailability, control release, and lower toxic effect. Despite the great progress in nanomedicine, there remain many limitations for clinical application. To overcome these limitations, advanced nanoparticles for drug delivery have been developed to enable the spatially and temporally controlled release of drugs in response to specific stimuli at disease sites. Furthermore, the controlled self-assembly of organic and inorganic materials may enable their use in theranostic applications. This review presents an overview of a recent advanced nanoparticulate system that can be used as a potential drug delivery carrier and focuses on the potential applications of nanoparticles in various biomedical fields for human health care."
Delivery Strategy to Enhance the Therapeutic Efficacy of Liver Fibrosis via Nanoparticle Drug Delivery Systems.,"Liver fibrosis (LF) is a pathological repair reaction caused by a chronic liver injury that affects the health of millions of people worldwide, progressing to life-threatening cirrhosis and liver cancer without timely intervention. Due to the complexity of LF pathology, multiple etiological characteristics, and the deposited extracellular matrix, traditional drugs cannot reach appropriate targets in a time-space matching way, thus decreasing the therapeutic effect. Nanoparticle drug delivery systems (NDDS) enable multidrug co-therapy and develop multifactor delivery strategies targeting pathological processes, showing great potential in LF therapy. Based on the pathogenesis and the current clinical treatment status of LF, we systematically elucidate the targeting mechanism of NDDS used in the treatment of LF. Subsequently, we focus on the progress of drug delivery applications for LF, including combined delivery for the liver fibrotic pathological environment, overcoming biological barriers, precise intracellular regulation, and intelligent responsive delivery for the liver fibrotic microenvironment. We hope that this review will inspire the rational design of NDDS for LF in the future in order to provide ideas and methods for promoting LF regression and cure."
Inorganic-organic Synergy in Nano-hybrids Makes a New Class of Drug with Targeted Delivery: Glutamate Functionalization of Iron Nanoparticles for Potential Bone Marrow Delivery and X-ray Dynamic Therapy.,"The direct delivery of therapeutic molecules is generally inefficient and has several problems. Hence, nanomedicines with targeted and controlled delivery applications have been an exciting field of research for the past decade. In this regard, the adjustable properties of inorganic nanoparticles like particle size distribution, ability to change the targeting ligand to have a higher affinity towards the pathologic cell, and controlled delivery properties have made them indispensable for targeted drug delivery applications. Changing the ligand on the surface of the inorganic nanoparticle can direct different therapeutic molecules to different organs like the liver, spleen, kidney, bone, and even brain. However, while the other targeted nanomedicines are well-reported, the targeting of therapeutics to bone marrow cells is sparse in the literature. Hence, the administration of therapeutics for bone-related disorders, like bone metastases, leads to several problems, such as severe systemic toxicity and suboptimal efficacy. In this direction, we have shown our successful effort to functionalise a model inorganic nanoparticle (Fe<sub>2</sub>O<sub>3</sub>) by glutamate ligand which is reported to have a high affinity towards the NMDA receptors of the bone cells. We have performed spectroscopic studies to characterize the nano-hybrid. We have shown that the cargo or the Fe<sub>2</sub>O<sub>3</sub> nanoparticle possesses the ability to generate photo-induced reactive oxygen species (ROS), thereby leading to a therapeutic opportunity for bone metastases. In addition, the nanoparticle also possesses the ability to generate enhanced ROS on X-ray irradiation, which may provide a new strategy for bone metastases and cancer therapy. Also, this paper reviews the advancement in the drug delivery applications of inorganic nanoparticles and highlights the crosstalk between the inorganic nanoparticles with the conjugated targeting ligand for efficient delivery applications."
"Nanoparticles in drug delivery: past, present and future.",This opinion paper relates how nanoparticles were discovered in the seventies and how the development of biodegradable materials and nanoparticle surface functionalization has allowed new treatment strategies. The reasons why only very few nanoparticle-based medicines are on the market or in late clinical trials are discussed and some new approaches are identified. Future challenges in the nanoparticle field are also identified.
"Nanotechnology, nano-systems and applications of nanoparticles in novel drug delivery - a comprehensive review.","Nanotechnology is one of the most important research fields and is widely being used in various subareas of medicine like prevention, mitigation and therapy. It has enabled novel drug applications with particle dimensions ranging from 1 to 100 nm. The physical, biological, and chemical properties of various active pharmaceutical ingredients could be improved. Nanoparticles provide a greater advantage over conventional drug delivery systems and enhance drug performance by enhancing solubility, bioavailability, surface area, and dissolution rate, and by reducing dose, inter-patient variability and fed or fasted state variability. Nanosystems have various types, such as carbon nanotubes, dendrimers, liposomes, metallic nanoparticles, nanocrystal quantum dots, polymeric micelles, and polymeric nanoparticles. Nanomedicine serves various benefits in the prevention of premature drug degradation, improvement of drug intracellular permeability, enhancement of tissue absorption, and interaction with the organic and biological environment. The current review provides updated advances in the field of nanomedicine, promising aspects of nanotechnology in drug delivery, and types of nanoparticles that can serve in the treatment of diseases as novel carriers."
Photocleavage-based Photoresponsive Drug Delivery.,"Targeted drug delivery has been extensively studied in the last decade, whereas both passive and active targeting strategies still face many challenges, such as off-target drug release. Light-responsive drug delivery systems have been developed with high controllability and spatio-temporal resolution to improve drug efficacy and reduce off-target drug release. Photoremovable protecting groups are light-responsive moieties that undergo irreversible photocleavage reactions upon light irradiation. They can be covalently linked to the molecule of interest to control its structure and function with light. In this review, we will summarize recent applications of photocleavage technologies in nanoparticle-based drug delivery for precise targeting and controlled drug release, with a highlight of strategies to achieve long-wavelength light excitation. A greater understanding of these mechanisms and emerging studies will help design more efficient photocleavage-based nanosystems to advance photoresponsive drug delivery."
Magnetic nanoparticles for gene and drug delivery.,"Investigations of magnetic micro- and nanoparticles for targeted drug delivery began over 30 years ago. Since that time, major progress has been made in particle design and synthesis techniques, however, very few clinical trials have taken place. Here we review advances in magnetic nanoparticle design, in vitro and animal experiments with magnetic nanoparticle-based drug and gene delivery, and clinical trials of drug targeting."
A Comprehensive Review on Nanoparticles as Drug Delivery System and Their Role for Management of Hypertension.,"The current global epidemic of hypertension is not a disease in and of itself but rather a significant risk factor for serious cardiovascular conditions such as peripheral artery disease, heart failure, myocardial infarction, and stroke. Although many medications that work through various mechanisms of action are available on the market in conventional formulations to treat hypertension, these medications face significant difficulties with their bioavailability, dosing, and associated side effects, which significantly reduces the effectiveness of their therapeutic interventions. Numerous studies have shown that nanocarriers and nanoformulations can minimize the toxicity associated with high doses of the drug while greatly increasing the drug's bioavailability and reducing the frequency of dosing. This review sheds light on the difficulties posed by traditional antihypertensive formulations and highlights the necessity of oral nanoparticulate systems to solve these issues. Because hypertension has a circadian blood pressure pattern, chronotherapeutics can be very important in treating the condition. On the other hand, nanoparticulate systems can be very important in managing hypertension."
